上厕所 7	8	33	104	4
取快递	18	19	3	104	4
洗衣服 18	19	33	104	4
购物 18	19	113	104	4
玩原神 19	20	33	104	4
跑步 20	21	71	104	4
上厕所 21	22	33	104	4
上厕所	31	32	33	104	4
取快递	42	43	3	104	4
洗衣服	42	43	33	104	4
购物	42	43	113	104	4
玩原神	43	44	33	104	4
跑步	44	45	71	104	4
上厕所	45	46	33	104	4
上厕所	55	56	33	104	4
取快递	66	67	3	104	4
洗衣服	66	67	33	104	4
购物	66	67	113	104	4
玩原神	67	68	33	104	4
跑步	68	69	71	104	4
上厕所	69	70	33	104	4
上厕所	79	80	33	104	4
取快递	90	91	3	104	4
洗衣服	90	91	33	104	4
购物	90	91	113	104	4
玩原神	91	92	33	104	4
跑步	92	93	71	104	4
上厕所	93	94	33	104	4
上厕所	103	104	33	104	4
取快递	114	115	3	104	4
洗衣服	114	115	33	104	4
购物	114	115	113	104	4
玩原神	115	116	33	104	4
跑步	116	117	71	104	4
上厕所	117	118	33	104	4
上厕所	127	128	33	104	4
取快递	138	139	3	104	4
洗衣服	138	139	33	104	4
购物	138	139	113	104	4
玩原神	139	140	33	104	4
跑步	140	141	71	104	4
上厕所	141	142	33	104	4
上厕所	151	152	33	104	4
取快递	162	163	3	104	4
洗衣服	162	163	33	104	4
购物	162	163	113	104	4
玩原神	163	164	33	104	4
跑步	164	165	71	104	4
上厕所	165	166	33	104	4
上厕所	175	176	33	104	4
取快递	186	187	3	104	4
洗衣服	186	187	33	104	4
购物	186	187	113	104	4
玩原神	187	188	33	104	4
跑步	188	189	71	104	4
上厕所	189	190	33	104	4
上厕所	199	200	33	104	4
取快递	210	211	3	104	4
洗衣服	210	211	33	104	4
购物	210	211	113	104	4
玩原神	211	212	33	104	4
跑步	212	213	71	104	4
上厕所	213	214	33	104	4
上厕所	223	224	33	104	4
取快递	234	235	3	104	4
洗衣服	234	235	33	104	4
购物	234	235	113	104	4
玩原神	235	236	33	104	4
跑步	236	237	71	104	4
上厕所	237	238	33	104	4
上厕所	247	248	33	104	4
