吃早饭	7	8	104	102	3	2
午休	12	13	33	102	3	2
吃早饭	31	32	104	102	3	2
午休	36	37	33	102	3	2
吃早饭	55	56	104	102	3	2
午休	60	61	33	102	3	2
吃早饭	79	80	104	102	3	2
午休	84	85	33	102	3	2
吃早饭	103	104	104	102	3	2
午休	108	109	33	102	3	2
吃早饭	127	128	104	102	3	2
午休	132	133	33	102	3	2
打篮球	139	140	49	102	3	3
吃早饭	151	152	104	102	3	2
游泳	155	156	109	102	3	3
午休	156	157	33	102	3	2
吃早饭	175	176	104	102	3	2
午休	180	181	33	102	3	2
吃早饭	199	200	104	102	3	2
午休	204	205	33	102	3	2
吃早饭	223	224	104	102	3	2
午休	228	229	33	102	3	2
吃早饭	247	248	104	102	3	2
午休	252	253	33	102	3	2
吃早饭	271	272	104	102	3	2
午休	276	277	33	102	3	2
吃早饭	295	296	104	102	3	2
午休	300	301	33	102	3	2
打篮球	307	308	49	102	3	3
吃早饭	319	320	104	102	3	2
游泳	323	324	109	102	3	3
午休	324	325	33	102	3	2
吃早饭	343	344	104	102	3	2
午休	348	349	33	102	3	2
吃早饭	367	368	104	102	3	2
午休	372	373	33	102	3	2
吃早饭	391	392	104	102	3	2
午休	396	397	33	102	3	2
吃早饭	415	416	104	102	3	2
午休	420	421	33	102	3	2
吃早饭	439	440	104	102	3	2
午休	444	445	33	102	3	2
吃早饭	463	464	104	102	3	2
午休	468	469	33	102	3	2
打篮球	475	476	49	102	3	3
吃早饭	487	488	104	102	3	2
游泳	491	492	109	102	3	3
午休	492	493	33	102	3	2
吃早饭	511	512	104	102	3	2
午休	516	517	33	102	3	2
吃早饭	535	536	104	102	3	2
午休	540	541	33	102	3	2
吃早饭	559	560	104	102	3	2
午休	564	565	33	102	3	2
吃早饭	583	584	104	102	3	2
午休	588	589	33	102	3	2
吃早饭	607	608	104	102	3	2
午休	612	613	33	102	3	2
吃早饭	631	632	104	102	3	2
午休	636	637	33	102	3	2
打篮球	643	644	49	102	3	3
吃早饭	655	656	104	102	3	2
游泳	659	660	109	102	3	3
午休	660	661	33	102	3	2
吃早饭	679	680	104	102	3	2
午休	684	685	33	102	3	2
吃早饭	703	704	104	102	3	2
午休	708	709	33	102	3	2
吃早饭	727	728	104	102	3	2
午休	732	733	33	102	3	2
吃早饭	751	752	104	102	3	2
午休	756	757	33	102	3	2
吃早饭	775	776	104	102	3	2
午休	780	781	33	102	3	2
吃早饭	799	800	104	102	3	2
午休	804	805	33	102	3	2
打篮球	811	812	49	102	3	3
吃早饭	823	824	104	102	3	2
游泳	827	828	109	102	3	3
午休	828	829	33	102	3	2
吃早饭	847	848	104	102	3	2
午休	852	853	33	102	3	2
吃早饭	871	872	104	102	3	2
午休	876	877	33	102	3	2
吃早饭	895	896	104	102	3	2
午休	900	901	33	102	3	2
吃早饭	919	920	104	102	3	2
午休	924	925	33	102	3	2
吃早饭	943	944	104	102	3	2
午休	948	949	33	102	3	2
吃早饭	967	968	104	102	3	2
午休	972	973	33	102	3	2
打篮球	979	980	49	102	3	3
吃早饭	991	992	104	102	3	2
游泳	995	996	109	102	3	3
午休	996	997	33	102	3	2
吃早饭	1015	1016	104	102	3	2
