听讲座	82	84	100	8	2
团建	160	164	72	8	2
团课	209	210	107	8	2
听讲座	250	252	100	8	2
团建	328	332	72	8	2
班会	352	353	106	308	2
团日活动	377	378	108	8	2
听讲座	418	420	100	8	2
团建	496	500	72	8	2
团课	545	546	107	8	2
听讲座	586	588	100	8	2
团建	664	668	72	8	2
班会	688	689	106	308	2
团日活动	713	714	108	8	2
军训	733	737	71	8	2
听讲座	754	756	100	8	2
军训	805	809	71	8	2
秋之韵	829	833	100	8	2
团建	832	836	72	8	2
团课	881	882	107	8	2
军训	901	905	71	8	2
听讲座	922	924	100	8	2
军训	973	977	71	8	2
团建	1000	1004	72	8	2
班会	1024	1025	106	308	2
团日活动	1049	1050	108	8	2
军训	1069	1073	71	8	2
听讲座	1090	1092	100	8	2
军训	1141	1145	71	8	2
团建	1168	1172	72	8	2
团课	1217	1218	107	8	2
军训	1237	1241	71	8	2
听讲座	1258	1260	100	8	2
军训	1309	1313	71	8	2
团建	1336	1340	72	8	2
班会	1360	1361	106	308	2
团日活动	1385	1386	108	8	2
军训	1405	1409	71	8	2
听讲座	1426	1428	100	8	2
军训	1477	1481	71	8	2
团建	1504	1508	72	8	2
团课	1553	1554	107	8	2
军训	1573	1577	71	8	2
听讲座	1594	1596	100	8	2
军训	1645	1649	71	8	2
团建	1672	1676	72	8	2
班会	1696	1697	106	308	2
团日活动	1721	1722	108	8	2
军训	1741	1745	71	8	2
听讲座	1762	1764	100	8	2
军训	1813	1817	71	8	2
团建	1840	1844	72	8	2
团课	1889	1890	107	8	2
军训	1909	1913	71	8	2
听讲座	1930	1932	100	8	2
军训	1981	1985	71	8	2
团建	2008	2012	72	8	2
班会	2032	2033	106	308	2
团日活动	2057	2058	108	8	2
军训	2077	2081	71	8	2
听讲座	2098	2100	100	8	2
军训	2149	2153	71	8	2
团建	2176	2180	72	8	2
团课	2225	2226	107	8	2
听讲座	2266	2268	100	8	2
团建	2344	2348	72	8	2
听讲座	2434	2436	100	8	2
团建	2512	2516	72	8	2
听讲座	2602	2604	100	8	2
团建	2680	2684	72	8	2
听讲座	2770	2772	100	8	2
